Date,mean,lower,upper
2025-07-31,2.4500694274902344,1.8917374506879638,3.008401404292505
2025-08-01,2.1259244203567507,1.7185405810459518,2.5333082596675496
2025-08-04,2.353734407424927,1.973280115873341,2.7341886989765127
2025-08-05,2.5308947706222535,2.1015310184358653,2.9602585228086418
2025-08-06,2.5749326181411742,2.108667174850365,3.0411980614319836
2025-08-07,2.5571344304084778,2.090318063809098,3.0239507970078576
2025-08-08,2.537279496192932,2.1587542690976598,2.915804723288204
2025-08-11,2.5834192037582397,2.0982581028075415,3.068580304708938
2025-08-12,2.5735424947738648,2.153756871421022,2.9933281181267075
2025-08-13,2.498359031677246,2.0042038584440536,2.9925142049104383
2025-08-14,2.5081742930412294,2.0410581278413957,2.975290458241063
2025-08-15,2.4591029691696167,2.0473442831885613,2.870861655150672
2025-08-18,2.455271990299225,1.963236476495522,2.947307504102928
2025-08-19,2.4501709580421447,1.9912503157370187,2.9090916003472707
2025-08-20,2.351807589530945,1.9332270577083872,2.770388121353503
2025-08-21,2.24307692527771,1.8540804169166405,2.632073433638779
2025-08-22,2.150935308933258,1.7764865557269234,2.525384062139593
2025-08-25,2.080184621810913,1.6649800681878295,2.4953891754339965
2025-08-26,1.9648518776893615,1.6315358726850118,2.2981678826937113
2025-08-27,1.828020989894867,1.4380109039551143,2.21803107583462
2025-08-28,1.711262218952179,1.3473472373324538,2.075177200571904
2025-08-29,1.5902185153961181,1.2637395846139619,1.9166974461782744
2025-09-01,1.4358993864059448,1.1394173521438977,1.732381420667992
2025-09-02,1.2969222736358643,1.0323960049718837,1.561448542299845
2025-09-03,1.218536262512207,0.9797376196087754,1.4573349054156384
2025-09-04,1.1023351275920867,0.8404550791834489,1.3642151760007246
2025-09-05,1.026117980480194,0.7773346452025389,1.2749013157578493
2025-09-08,0.9583570039272309,0.7103647101953621,1.2063492976590997
2025-09-09,0.9073091745376587,0.6736067843058082,1.1410115647695092
2025-09-10,0.8416536962985992,0.6308502103609924,1.052457182236206
2025-09-11,0.8030379152297974,0.5648532230648167,1.0412226073947781
2025-09-12,0.74901287317276,0.5639577912192348,0.9340679551262852
2025-09-15,0.7244918674230576,0.5063865868152531,0.9425971480308621
2025-09-16,0.6803946757316589,0.49495828070124936,0.8658310707620684
2025-09-17,0.6478253358602524,0.46439232091999716,0.8312583508005076
2025-09-18,0.622348952293396,0.4498393714022325,0.7948585331845596
2025-09-19,0.602139413356781,0.4287671413764885,0.7755116853370735
2025-09-22,0.5848774749040604,0.41729611050593596,0.7524588393021848
2025-09-23,0.5673485231399537,0.40059055971195,0.7341064865679573
2025-09-24,0.5513305073976517,0.38387924068683155,0.7187817741084718
2025-09-25,0.5408089607954025,0.38523285950977215,0.6963850620810329
2025-09-26,0.5319514441490173,0.38250167694433096,0.6814012113537036
2025-09-29,0.5297618269920349,0.37044673217416146,0.6890769218099083
2025-09-30,0.5224030357599259,0.36079602948146466,0.684010042038387
2025-10-01,0.5063932353258133,0.35478081321276167,0.6580056574388649
2025-10-02,0.5019677191972732,0.3581883880621597,0.6457470503323868
2025-10-03,0.5099407315254212,0.3505137118066046,0.6693677512442378
2025-10-06,0.4991257607936859,0.3479192145123492,0.6503323070750227
2025-10-07,0.500790998339653,0.3451837111707894,0.6563982855085166
2025-10-08,0.4895786052942276,0.3502044923570504,0.6289527182314048
2025-10-09,0.48949259221553804,0.319791458812152,0.6591937256189241
2025-10-10,0.48873963952064514,0.34790532952418374,0.6295739495171065
2025-10-13,0.4812471133470535,0.3365561054988565,0.6259381211952505
2025-10-14,0.4829275405406952,0.3489052051605793,0.6169498759208111
